 Iter cont_resid imp_resid energy_resid
5990 0.242093 0.098783 0.173024
6000 0.239200 0.098258 0.170486
6010 0.238531 0.098004 0.169412
6020 0.235821 0.097160 0.167948
6030 0.236657 0.097186 0.167969
6040 0.235899 0.096670 0.167723
6050 0.237182 0.096617 0.168836
6060 0.237191 0.095898 0.168685
6070 0.235306 0.094751 0.167744
6080 0.231273 0.093906 0.164983
6090 0.231594 0.092483 0.164957
6100 0.231543 0.091333 0.164934
6110 0.229306 0.089102 0.164136
6120 0.226557 0.085757 0.162684
6130 0.225950 0.083038 0.163766
6140 0.222777 0.080254 0.163717
6150 0.223231 0.077764 0.166349
6160 0.224023 0.076771 0.170897
6170 0.225628 0.078964 0.175406
6180 0.226777 0.082814 0.181250
6190 0.228506 0.086031 0.187143
6200 0.233039 0.090907 0.193950
6210 0.235919 0.098013 0.197704
6220 0.236505 0.108801 0.197703
6230 0.234396 0.116693 0.194054
6240 0.231381 0.122467 0.188466
6250 0.228037 0.126151 0.185977
6260 0.225547 0.128359 0.185807
6270 0.222051 0.140459 0.186414
6280 0.218005 0.151710 0.185081
6290 0.212170 0.159597 0.181221
6300 0.206033 0.166869 0.174929
6310 0.199240 0.175820 0.168478
6320 0.191787 0.182529 0.162490
6330 0.184217 0.188420 0.155395
6340 0.176661 0.193499 0.147018
6350 0.168443 0.197674 0.137723
6360 0.161404 0.201424 0.128815
6370 0.155386 0.203946 0.122250
6380 0.151156 0.204565 0.118119
6390 0.150589 0.205701 0.116736
6400 0.150583 0.205887 0.114780
6410 0.151331 0.205298 0.117571
6420 0.154604 0.205679 0.124106
6430 0.155833 0.205763 0.129596
6440 0.159612 0.204540 0.135351
6450 0.164800 0.201599 0.141079
6460 0.170010 0.197279 0.146102
6470 0.174327 0.192251 0.149916
6480 0.176717 0.186372 0.152834
6490 0.178622 0.179695 0.154294
6500 0.179294 0.171825 0.155722
6510 0.178787 0.163782 0.156011
6520 0.176848 0.155359 0.154458
6530 0.175143 0.146241 0.151831
6540 0.173862 0.137580 0.149310
6550 0.177519 0.130052 0.148959
6560 0.186578 0.122123 0.154711
6570 0.193302 0.113742 0.161383
6580 0.197873 0.104385 0.165720
6590 0.199878 0.093809 0.167491
6600 0.199789 0.084633 0.166932
6610 0.197903 0.083298 0.163923
6620 0.193583 0.081634 0.159077
6630 0.187028 0.079552 0.152224
6640 0.179520 0.077206 0.144289
6650 0.171646 0.074329 0.135726
6660 0.163140 0.071434 0.126683
6670 0.155667 0.071978 0.117372
6680 0.150004 0.076372 0.109541
6690 0.145757 0.081956 0.104490
6700 0.142232 0.087359 0.100906
6710 0.139550 0.091333 0.097584
6720 0.137179 0.094004 0.094923
6730 0.135349 0.095851 0.092517
6740 0.133560 0.096753 0.090201
6750 0.131854 0.096645 0.088371
6760 0.130575 0.095700 0.086860
6770 0.130264 0.094217 0.086003
6780 0.130899 0.091945 0.085834
6790 0.132341 0.089010 0.087435
6800 0.134394 0.085529 0.090570
6810 0.136746 0.082334 0.094016
6820 0.139296 0.080484 0.097022
6830 0.141416 0.078947 0.099767
6840 0.143233 0.077633 0.102068
6850 0.144449 0.076344 0.103556
6860 0.144786 0.075060 0.104023
6870 0.144425 0.074054 0.104254
6880 0.143832 0.073250 0.103464
6890 0.142491 0.072437 0.101588
6900 0.140936 0.071373 0.099391
6910 0.140364 0.070324 0.097887
6920 0.140283 0.068997 0.097972
6930 0.140815 0.067937 0.098701
6940 0.141556 0.066439 0.100025
6950 0.142972 0.065062 0.101602
6960 0.144533 0.063821 0.103092
6970 0.146115 0.064101 0.104434
6980 0.147263 0.064301 0.105932
6990 0.148322 0.064197 0.106976
7000 0.149622 0.063835 0.108174
7010 0.150150 0.062982 0.108933
7020 0.150788 0.062484 0.109335
